scenario,region,GCAM_region_ID,year,gdpcap1q
Reference,Africa_Southern,4,2020,73.87414444170679
Reference,Africa_Southern,4,2030,93.98595513008337
Reference,Africa_Southern,4,2040,130.06522631290483
Reference,Africa_Southern,4,2050,194.78010866515007
Reference,Africa_Western,5,2020,93.22223695159924
Reference,Africa_Western,5,2030,126.49760916808613
Reference,Africa_Western,5,2040,198.8857928774027
Reference,Africa_Western,5,2050,311.1202513270688
Reference,Argentina,31,2020,738.4580222348277
Reference,Argentina,31,2030,971.5282291777754
Reference,Argentina,31,2040,1229.7614207194058
Reference,Argentina,31,2050,1544.9101572730306
Reference,Australia_NZ,6,2020,5223.9918597994065
Reference,Australia_NZ,6,2030,5848.65369192541
Reference,Australia_NZ,6,2040,6477.4141709021205
Reference,Australia_NZ,6,2050,7204.745712767433
Reference,Brazil,7,2020,373.1068025293662
Reference,Brazil,7,2030,437.4548243117079
Reference,Brazil,7,2040,521.1254968552375
Reference,Brazil,7,2050,616.7254910770849
Reference,Canada,8,2020,5702.099479623251
Reference,Canada,8,2030,6079.81148432384
Reference,Canada,8,2040,6651.446197104496
Reference,Canada,8,2050,7148.796098789365
Reference,Central America and Caribbean,9,2020,262.9555275059767
Reference,Central America and Caribbean,9,2030,351.99660426753707
Reference,Central America and Caribbean,9,2040,488.151558825904
Reference,Central America and Caribbean,9,2050,695.1163768992823
Reference,Central Asia,10,2020,577.2315826533116
Reference,Central Asia,10,2030,833.0368790061816
Reference,Central Asia,10,2040,1110.076027413747
Reference,Central Asia,10,2050,1359.5499195322022
Reference,China,11,2020,577.8166286813752
Reference,China,11,2030,962.5856842632287
Reference,China,11,2040,1373.529888598935
Reference,China,11,2050,1848.1075372776932
Reference,Colombia,32,2020,310.8930379679076
Reference,Colombia,32,2030,383.321619682327
Reference,Colombia,32,2040,477.9578981023308
Reference,Colombia,32,2050,594.4960820765032
Reference,EU-12,12,2020,2055.692543392774
Reference,EU-12,12,2030,2562.918411829348
Reference,EU-12,12,2040,3098.036264920487
Reference,EU-12,12,2050,3582.1728696751697
Reference,EU-15,13,2020,4513.3400470346405
Reference,EU-15,13,2030,5005.246184710638
Reference,EU-15,13,2040,5650.728288420893
Reference,EU-15,13,2050,6426.6598357074445
Reference,Europe_Eastern,14,2020,408.61630466817275
Reference,Europe_Eastern,14,2030,565.7183182610971
Reference,Europe_Eastern,14,2040,756.0257860883916
Reference,Europe_Eastern,14,2050,943.2403231598705
Reference,Europe_Non_EU,15,2020,1073.7302663798241
Reference,Europe_Non_EU,15,2030,1342.2477827062055
Reference,Europe_Non_EU,15,2040,1633.3304242446798
Reference,Europe_Non_EU,15,2050,1944.1168623739934
Reference,European Free Trade Association,16,2020,9612.869133415468
Reference,European Free Trade Association,16,2030,10423.565713921864
Reference,European Free Trade Association,16,2040,11419.590615446361
Reference,European Free Trade Association,16,2050,12784.15161878447
Reference,India,17,2020,191.711184431966
Reference,India,17,2030,293.06874172408106
Reference,India,17,2040,401.0953164300994
Reference,India,17,2050,513.4534106662127
Reference,Indonesia,18,2020,370.22111839567435
Reference,Indonesia,18,2030,588.4859793367141
Reference,Indonesia,18,2040,874.3811999693365
Reference,Indonesia,18,2050,1250.9088884888133
Reference,Japan,19,2020,4984.098355612162
Reference,Japan,19,2030,5499.719351467322
Reference,Japan,19,2040,6070.988006949048
Reference,Japan,19,2050,6721.496001037347
Reference,Mexico,20,2020,445.25902182251554
Reference,Mexico,20,2030,626.2001526626276
Reference,Mexico,20,2040,919.5947491014135
Reference,Mexico,20,2050,1393.802387448771
Reference,Middle East,21,2020,810.9043268528162
